	5523	5506	5499	813	5502	5527	5509	5522	624	5516	5526	627	5508	767	5517	5503	5524	5518	5505	5500	5513	5510	5520	673etoh	704	5515	686	457	701	5525	5507	703	5528	5521	1596	5519	682	673ctrl	5504	300	5512	668	5501	626	5511	5514
bin.10	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	596.0	0.0	1.0	408.0	0.0	9844.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	12.0	18.0	0.0	56046.0	18472.0	20.0	0.0	0.0	10.0	0.0	0.0	14.0	0.0	70571.0	35.0	0.0	11311.0	0.0	4.0	0.0	920.0	0.0	0.0
bin.102	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1341.0	0.0	0.0	0.0	12.0	0.0	0.0	1314.0	0.0	0.0	0.0	0.0	0.0	2058.0	0.0	0.0	1.0	1428.0	0.0	0.0	0.0	0.0
bin.104	0.0	1.0	0.0	10.0	3.0	0.0	0.0	1.0	8813.0	0.0	0.0	5391.0	2339.0	68.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	31.0	3.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	14.0	152.0	0.0	0.0	44147.0	0.0	0.0
bin.105	30.0	0.0	418.0	177.0	219.0	19.0	258.0	45.0	4178.0	0.0	8.0	12540.0	562.0	718.0	6.0	24.0	12.0	0.0	230.0	128.0	207.0	0.0	16.0	28.0	7409.0	0.0	70.0	120.0	35.0	0.0	14.0	7166.0	0.0	85.0	1723.0	5.0	5.0	20989.0	55.0	2852.0	544.0	3648.0	366.0	4594.0	569.0	11.0
bin.111	0.0	0.0	0.0	1016.0	0.0	0.0	0.0	0.0	6239.0	0.0	0.0	16397.0	0.0	310.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	122.0	49.0	0.0	131.0	704.0	237.0	0.0	0.0	20.0	0.0	0.0	1.0	0.0	284.0	123.0	1.0	226.0	0.0	127.0	0.0	4555.0	0.0	0.0
bin.112	0.0	0.0	2.0	35.0	1.0	0.0	0.0	0.0	11072.0	0.0	0.0	48044.0	1.0	2822.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	356.0	0.0	12.0	2.0	40.0	0.0	10.0	168.0	0.0	0.0	19220.0	0.0	23.0	244.0	0.0	35.0	1.0	47.0	0.0	23948.0	1.0	0.0
bin.117	0.0	0.0	0.0	28.0	0.0	1.0	2.0	0.0	7128.0	0.0	0.0	27838.0	0.0	5.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	10419.0	671.0	0.0	0.0	4.0	5141.0	0.0	0.0	370.0	1.0	2.0	16.0	2.0	41.0	52875.0	2.0	156.0	4.0	28.0	1.0	13313.0	3.0	0.0
bin.135	0.0	0.0	2.0	41004.0	0.0	0.0	0.0	0.0	604.0	0.0	0.0	5939.0	0.0	36813.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66742.0	2205.0	0.0	24980.0	53114.0	95797.0	0.0	0.0	1413.0	0.0	1.0	25106.0	1.0	47626.0	2377.0	0.0	83960.0	1.0	1047.0	0.0	710.0	0.0	0.0
bin.15	0.0	0.0	0.0	1199.0	0.0	0.0	0.0	1.0	328.0	0.0	0.0	758.0	0.0	1642.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	47284.0	95854.0	0.0	14.0	1563.0	55546.0	0.0	0.0	74462.0	0.0	0.0	2264.0	0.0	77.0	160400.0	1.0	43090.0	0.0	152800.0	0.0	1041.0	0.0	0.0
bin.158	277.0	1.0	581.0	2.0	7683.0	1707.0	28.0	63.0	250.0	1.0	436.0	1800.0	16.0	346.0	138.0	182.0	1352.0	0.0	1545.0	1508.0	57.0	1.0	703.0	28.0	87.0	0.0	14.0	294.0	40.0	0.0	1313.0	138.0	7.0	1791.0	272.0	3165.0	22.0	99.0	2135.0	113.0	1172.0	14.0	1087.0	868.0	153.0	7006.0
bin.160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26711.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	3.0	25839.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	23.0	0.0	0.0	1649.0	0.0	0.0	0.0	6.0	0.0	0.0
bin.165	1.0	0.0	7.0	19232.0	1.0	4.0	1.0	1.0	10.0	1.0	1.0	52.0	0.0	13.0	0.0	0.0	1.0	0.0	10.0	6.0	0.0	0.0	6.0	80.0	154.0	0.0	43882.0	37.0	49.0	0.0	226.0	56.0	0.0	0.0	47.0	2.0	133514.0	520.0	2.0	30.0	7.0	101.0	0.0	4.0	0.0	3.0
bin.166	0.0	0.0	1.0	671.0	0.0	0.0	0.0	0.0	25003.0	0.0	4.0	69918.0	0.0	8499.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	2762.0	0.0	626.0	35.0	75.0	0.0	7.0	974.0	0.0	0.0	218204.0	0.0	986.0	5722.0	1.0	4883.0	2.0	2968.0	0.0	42018.0	2.0	0.0
bin.167	0.0	0.0	1.0	7.0	1.0	1.0	0.0	0.0	8396.0	0.0	3.0	38968.0	0.0	1088.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	57.0	6.0	0.0	10.0	42.0	0.0	0.0	6998.0	1.0	0.0	157.0	0.0	17.0	0.0	8.0	0.0	42259.0	0.0	0.0
bin.170	2.0	0.0	10.0	10.0	8.0	5.0	6.0	1.0	474.0	0.0	5.0	1004.0	4.0	39431.0	2.0	0.0	1.0	0.0	7.0	28.0	17.0	0.0	3.0	59.0	146.0	0.0	70.0	46907.0	52.0	0.0	15.0	123.0	1.0	2.0	803.0	4.0	54.0	452.0	10.0	36136.0	23.0	54.0	0.0	763.0	10.0	7.0
bin.175	116.0	2.0	730.0	6.0	150.0	2.0	6.0	21.0	4718.0	2.0	3.0	13086.0	8.0	1987.0	91.0	25.0	2.0	1.0	591.0	22.0	57.0	0.0	137.0	7.0	5053.0	0.0	0.0	13.0	12.0	0.0	1.0	3001.0	0.0	0.0	4.0	263.0	12.0	14337.0	72.0	13.0	339.0	1126.0	132.0	9142.0	35.0	115.0
bin.181	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	40.0	0.0	352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	29586.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	13.0	0.0	0.0
bin.183	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	10457.0	0.0	0.0	47923.0	0.0	2394.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	7.0	0.0	2.0	0.0	24588.0	0.0	0.0
bin.19	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	176.0	0.0	0.0	525.0	0.0	5040.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	1152.0	0.0	132.0	10471.0	318.0	0.0	3.0	2182.0	0.0	0.0	799.0	0.0	324.0	565.0	0.0	3.0	0.0	415.0	0.0	239.0	0.0	0.0
bin.191	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	1.0	0.0	58136.0	1.0	38.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	47944.0	10.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
bin.195	0.0	0.0	0.0	3862.0	0.0	1.0	0.0	4.0	25.0	1.0	0.0	27.0	0.0	9658.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	5805.0	6.0	0.0	16.0	20201.0	7300.0	1.0	0.0	8.0	0.0	0.0	991.0	2.0	22.0	8.0	0.0	30697.0	0.0	1.0	0.0	34.0	2.0	0.0
bin.197	1.0	0.0	7.0	34.0	0.0	0.0	1.0	1.0	15.0	0.0	0.0	63.0	1.0	261.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0	62.0	104431.0	0.0	395.0	69.0	39.0	0.0	5.0	64738.0	0.0	0.0	285.0	0.0	398.0	763.0	0.0	355.0	0.0	860.0	0.0	42.0	0.0	1.0
bin.200	18.0	0.0	47.0	76.0	126.0	5.0	11.0	37.0	638.0	4.0	18.0	2213.0	30.0	42643.0	33.0	14.0	5.0	0.0	111.0	36.0	17.0	0.0	72.0	47.0	711.0	0.0	1197.0	36205.0	15.0	0.0	77.0	611.0	0.0	20.0	319.0	25.0	60.0	1472.0	32.0	101696.0	40.0	177.0	19.0	2755.0	24.0	23.0
bin.204	18.0	1.0	46.0	483.0	37.0	49.0	10.0	17.0	186.0	0.0	27.0	469.0	27.0	1452.0	4.0	1.0	14.0	0.0	146.0	16.0	12.0	1.0	62.0	21.0	8944.0	1.0	20.0	438.0	39.0	0.0	895.0	3318.0	5.0	15.0	42340.0	12.0	52.0	12333.0	31.0	22611.0	34.0	2323.0	13.0	352.0	23.0	20.0
bin.206	4.0	0.0	7.0	4.0	163.0	3.0	0.0	120.0	56.0	0.0	5.0	10637.0	3.0	16494.0	124.0	19.0	0.0	0.0	422.0	10.0	6.0	0.0	180.0	2.0	16295.0	0.0	3762.0	2077.0	5.0	0.0	20.0	21445.0	0.0	3.0	83.0	32.0	102.0	66639.0	6.0	3564.0	77.0	5016.0	43.0	43.0	5.0	23.0
bin.21	16.0	0.0	329.0	0.0	4.0	712.0	0.0	21.0	17.0	3.0	625.0	49.0	3.0	34.0	5720.0	0.0	1679.0	0.0	93.0	7.0	0.0	0.0	42806.0	0.0	39.0	0.0	0.0	36.0	0.0	0.0	109.0	33.0	0.0	365.0	22.0	3314.0	23.0	78.0	246.0	16.0	10.0	11.0	123.0	26.0	151.0	928.0
bin.22	137.0	0.0	33.0	2.0	20.0	83.0	45.0	150.0	9294.0	0.0	111.0	26579.0	22.0	657.0	25.0	0.0	16.0	0.0	31.0	11.0	9.0	0.0	65.0	16.0	38.0	0.0	6.0	43.0	29.0	0.0	302.0	38.0	10.0	10.0	203.0	42.0	2.0	115.0	26.0	15603.0	738.0	6.0	7.0	13184.0	22.0	13.0
bin.222	1012.0	1.0	268.0	28.0	3467.0	3894.0	7.0	123.0	328.0	1.0	670.0	1325.0	2594.0	6149.0	173.0	4028.0	70.0	1.0	48610.0	1601.0	48.0	1.0	290.0	156.0	264.0	0.0	29.0	3310.0	240.0	0.0	646.0	294.0	2.0	415.0	168.0	272.0	42.0	685.0	5679.0	10470.0	854.0	133.0	876.0	688.0	74.0	38.0
bin.226	29.0	14.0	149.0	220582.0	372.0	13.0	18.0	72.0	2265.0	6.0	46.0	7758.0	102.0	8102.0	20.0	53.0	59.0	0.0	400.0	195.0	58.0	3.0	66.0	16582.0	2515.0	1.0	300788.0	7019.0	23967.0	2.0	1028.0	1320.0	15.0	11.0	17693.0	8.0	358742.0	3667.0	376.0	27285.0	179.0	1133.0	169.0	3811.0	137.0	23.0
bin.229	139.0	3.0	100.0	123.0	53.0	234.0	15.0	223.0	15503.0	0.0	203.0	34871.0	38.0	499.0	139.0	19.0	170.0	0.0	217.0	51.0	15.0	0.0	349.0	11.0	304.0	0.0	0.0	178.0	36.0	0.0	661.0	356.0	10.0	75.0	398.0	91.0	1.0	1196.0	24.0	498.0	134.0	160.0	65.0	13884.0	33.0	67.0
bin.23	35.0	0.0	59.0	3.0	17.0	220.0	2.0	125.0	222.0	1.0	34.0	1682.0	10.0	2445.0	12.0	3.0	24.0	1.0	48.0	6.0	13.0	0.0	158.0	727.0	28.0	0.0	16.0	48.0	1050.0	0.0	3427.0	24.0	0.0	12.0	939.0	16.0	3.0	19.0	18.0	80716.0	14.0	7.0	17.0	9198.0	28.0	29.0
bin.241	4.0	0.0	0.0	16966.0	9.0	7.0	3.0	4.0	11.0	0.0	13.0	27.0	15.0	47.0	4.0	0.0	5.0	0.0	10.0	2.0	1.0	0.0	4.0	14493.0	41.0	0.0	24.0	9.0	18783.0	0.0	14.0	25.0	0.0	0.0	64705.0	2.0	14.0	22.0	3.0	33914.0	6.0	9.0	0.0	28.0	2.0	3.0
bin.244	0.0	0.0	0.0	25.0	7.0	0.0	0.0	4.0	3.0	0.0	0.0	19.0	0.0	83.0	0.0	0.0	0.0	0.0	2.0	2.0	4.0	0.0	6.0	86.0	16642.0	0.0	50301.0	6.0	65.0	0.0	11.0	2185.0	1.0	0.0	22.0	0.0	75128.0	4345.0	0.0	151.0	17.0	3597.0	1.0	14.0	4.0	1.0
bin.246	16.0	0.0	7.0	11.0	60.0	51.0	2.0	22.0	9057.0	0.0	11.0	33708.0	1.0	21441.0	1.0	4.0	71.0	0.0	30.0	24.0	8.0	0.0	4.0	6.0	414.0	0.0	19.0	1340.0	48.0	1.0	27.0	350.0	0.0	48.0	168.0	11.0	4.0	407.0	11.0	792.0	12.0	61.0	13.0	5737.0	3.0	7.0
bin.251	11.0	1.0	61.0	339.0	80.0	22.0	16.0	45.0	331.0	0.0	32.0	629.0	18.0	83451.0	13.0	10.0	12.0	1.0	126.0	90.0	33.0	0.0	45.0	147.0	260.0	0.0	6115.0	96813.0	114.0	0.0	216.0	253.0	4.0	29.0	418.0	22.0	7383.0	420.0	38.0	8609.0	36.0	71.0	13.0	435.0	11.0	28.0
bin.256	61.0	0.0	30.0	0.0	39.0	209.0	4.0	146.0	7.0	0.0	136.0	6.0	20.0	16.0	27.0	2.0	96.0	0.0	95.0	31.0	27.0	0.0	298.0	17.0	8.0	0.0	32896.0	14.0	23.0	0.0	2.0	10.0	3.0	50.0	16966.0	98.0	49367.0	18.0	16.0	57.0	41.0	4.0	57.0	2.0	51.0	115.0
bin.258	36.0	0.0	4.0	0.0	1.0	0.0	104.0	173.0	1021.0	0.0	2.0	1752.0	437.0	13.0	10.0	0.0	1.0	0.0	1.0	245.0	164.0	0.0	19.0	1.0	2.0	0.0	4.0	4.0	3.0	0.0	41005.0	6.0	0.0	91.0	30.0	2.0	5.0	6.0	0.0	11.0	691.0	0.0	1.0	1145.0	70.0	1.0
bin.261	0.0	0.0	0.0	72903.0	1.0	3.0	330.0	2.0	291.0	0.0	3.0	1598.0	1.0	173.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1404.0	9.0	0.0	1.0	349.0	1107.0	0.0	1.0	2.0	0.0	0.0	562.0	1.0	3.0	4.0	0.0	409.0	0.0	2.0	0.0	531.0	0.0	0.0
bin.268	12.0	19.0	1979.0	5.0	1563.0	225.0	322.0	1936.0	2.0	2.0	1900.0	15.0	447.0	59.0	858.0	139.0	226.0	0.0	3426.0	3656.0	91.0	3.0	36.0	24.0	92.0	1.0	2899.0	45.0	22.0	0.0	84530.0	16.0	2.0	208.0	932.0	196.0	6730.0	65.0	870.0	40.0	3242.0	33.0	1113.0	12.0	511.0	522.0
bin.269	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	110.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8710.0	0.0	3.0	24.0	9.0	0.0	1.0	6991.0	0.0	0.0	148.0	1.0	14.0	26891.0	0.0	12.0	0.0	6678.0	0.0	48.0	0.0	0.0
bin.275	880.0	2.0	56.0	0.0	143.0	379.0	229.0	2542.0	35.0	0.0	547.0	68.0	1107.0	88.0	288.0	3.0	264.0	0.0	106.0	285.0	265.0	4.0	2415.0	57.0	17.0	0.0	1.0	218.0	50.0	0.0	195402.0	23.0	52.0	100.0	169.0	1207.0	13.0	15.0	10.0	147.0	5415.0	1.0	82.0	35.0	78.0	249.0
bin.279	1.0	0.0	0.0	132.0	0.0	0.0	2.0	0.0	416.0	0.0	0.0	1202.0	0.0	174.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	93.0	56999.0	0.0	439.0	10.0	39.0	0.0	0.0	18798.0	1.0	0.0	5113.0	2.0	821.0	118941.0	0.0	110847.0	1.0	76080.0	0.0	874.0	0.0	0.0
bin.283	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	9252.0	0.0	0.0	18387.0	0.0	624.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	3.0	11.0	4.0	0.0	7.0	2.0	0.0	0.0	5421.0	0.0	11.0	22.0	0.0	111.0	0.0	0.0	1.0	6711.0	0.0	0.0
bin.291	1.0	0.0	4.0	95.0	2.0	4.0	1.0	0.0	2.0	0.0	3.0	18.0	0.0	70.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	90.0	42.0	0.0	25.0	33.0	61.0	0.0	14.0	25.0	0.0	1.0	68403.0	3.0	47.0	15.0	1.0	39785.0	0.0	22.0	0.0	5.0	0.0	0.0
bin.294	0.0	0.0	1.0	59029.0	0.0	1.0	0.0	1.0	658.0	0.0	0.0	3607.0	0.0	5226.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	541.0	896.0	0.0	145662.0	8248.0	869.0	0.0	4.0	373.0	0.0	0.0	55424.0	0.0	218537.0	1495.0	1.0	109367.0	1.0	515.0	0.0	1319.0	0.0	0.0
bin.299	288.0	4.0	4.0	7.0	522.0	16.0	7.0	9.0	2.0	0.0	23.0	25.0	15.0	481.0	2.0	2.0	5.0	0.0	2.0	0.0	47.0	1.0	178.0	0.0	21.0	1.0	0.0	657.0	0.0	0.0	50598.0	17.0	20.0	4.0	46.0	5.0	0.0	5.0	8.0	4395.0	41.0	1.0	87.0	9.0	15.0	48.0
bin.302	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	15.0	0.0	7.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	11.0	0.0	5.0	14.0	3.0	0.0	15.0	10.0	0.0	1.0	52.0	2.0	7.0	8.0	1.0	52130.0	0.0	0.0	0.0	6.0	1.0	3.0
bin.304	20.0	0.0	0.0	0.0	0.0	5.0	0.0	51.0	306.0	0.0	99.0	481.0	0.0	298.0	59.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	9.0	0.0	2.0	589.0	0.0	0.0	0.0	40.0	16.0	11.0	92.0	36.0	1.0	6.0	0.0	14890.0	0.0	2.0	0.0	225.0	0.0	19.0
bin.318	26.0	0.0	38.0	0.0	11.0	44.0	7.0	78.0	93.0	0.0	94.0	631.0	2.0	24297.0	36.0	3.0	21.0	0.0	32.0	32.0	3.0	0.0	63.0	16.0	39.0	0.0	53.0	48431.0	5.0	0.0	25.0	59.0	1.0	9.0	198.0	30.0	67.0	61.0	16.0	132.0	60.0	30.0	3.0	352.0	9.0	20.0
bin.32	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	4.0	0.0	678.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1512.0	26.0	0.0	122.0	431.0	1444.0	0.0	0.0	45.0	0.0	0.0	36.0	0.0	220.0	328.0	0.0	5241.0	0.0	13.0	0.0	5.0	0.0	0.0
bin.320	13.0	0.0	1100.0	15.0	96.0	7.0	1455.0	24.0	8.0	0.0	2937.0	16.0	934.0	2606.0	25.0	0.0	5.0	0.0	51.0	942.0	2521.0	2.0	16.0	4760.0	641.0	0.0	2142.0	5019.0	6091.0	0.0	995.0	387.0	0.0	11.0	19514.0	20.0	6061.0	3023.0	11.0	6850.0	7831.0	481.0	4171.0	12.0	3504.0	21.0
bin.325	0.0	0.0	0.0	13.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	27717.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	1.0	0.0	0.0	1.0	8.0	0.0	0.0	1.0	0.0	1.0	5.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	8.0	1.0	0.0
bin.327	0.0	0.0	2.0	3115.0	30.0	3.0	4.0	1.0	11.0	0.0	1.0	28.0	0.0	341.0	0.0	0.0	1.0	0.0	7.0	5.0	3.0	0.0	2.0	23043.0	8044.0	0.0	77609.0	684.0	23612.0	0.0	0.0	4643.0	1.0	1.0	161.0	9.0	141550.0	27766.0	1.0	1198.0	33.0	1123.0	0.0	2.0	3.0	2.0
