treatment,done,Acetate,Propionate,Butyrate,Isovalerate,Valerate,Octanoate
GTA,LD,440.7967921,6.204734659,2.979757875,0.470499874,0.828571468,1.027948765
GTA,MD,397.9395878,10.55334426,11.56803807,1.173535206,1.085482308,0.977356984
GTA,HD,113.9581219,10.2852588,0.115006942,0.504474636,0.336845115,0.478645499
GTA,LD,365.8119608,8.882650006,2.191449034,0.522323663,0.730922331,0.589768524
GTA,MD,470.3317929,11.66915486,6.873936887,0.784942131,1.413326564,0.694545711
GTA,HD,133.6742185,13.74932725,1.689545651,0.472823137,0.310681754,0.404122891
Control,LD,145.1290416,8.020370982,7.005971865,0.387892132,1.02354324,0.8612763
Control,MD,165.4069578,3.456446872,0,0.712418983,0.510097201,0.457941299
Control,HD,173.9005748,21.83593369,1.439247435,0.593808801,0.283009154,0.507050378
Control,LD,339.7610904,10.62387209,7.021970599,0.782930781,0.241298726,0.577270219
Control,MD,193.0739517,6.214108481,1.158969888,0.821966021,0.168573821,0.369022945
Control,HD,220.924319,5.853698314,0.497869662,0.344748153,0.378116012,0.646897472