ID,Tx1,Tx2,Sac Date,BW(grms),BW,Liber Weight,Group,ALT (u/l),HEPATIC TG (mg fat/g liver),sick-infusion
5499,Alcohol,GTA,10/20/15,26,25.2,1.730,1,73.814,16.65676077,0
5500,Alcohol,GTA,10/20/15,25,25.4,1.930,1,54.651,16.46359584,0
5501,Alcohol,GTA,10/20/15,25.7,25,1.731,1,62.120,24.36849926,0
5502,Alcohol,GTA,10/20/15,24.5,23.4,1.630,1,65.940,25.20059435,0
5503,Alcohol,GTA,10/20/15,26,23.7,1.880,1,219.986,10.86181278,0
5504,Alcohol,Glycerol,10/20/15,25,24.9,1.770,1,94.875,23.06092125,0
5505,Alcohol,Glycerol,10/20/15,25,24.4,1.780,1,110.517,24.68053492,0
5506,Alcohol,Glycerol,10/20/15,28,26.8,1.700,1,31.498,19.49479941,0
5507,Alcohol,Glycerol,10/21/15,25,22,1.500,1,3.800,18.41010401,1
5508,Glucose,GTA,10/19/15,25,24.7,1.226,1,13.830,3.016344725,0
5509,Glucose,GTA,10/19/15,25,24.1,1.196,1,0.157,2.897473997,0
5510,Glucose,GTA,10/19/15,25,25.2,1.195,1,0.386,7.563150074,0
5511,Glucose,Glycerol,10/19/15,25,24.8,1.195,1,35.254,11.78306092,0
5512,Glucose,Glycerol,10/19/15,24,24.8,1.258,1,14.598,3.164933135,0
5513,Glucose,Glycerol,10/19/15,24,24.8,1.288,1,18.055,5.601783061,0
5499,Alcohol,GTA,10/20/15,26,25.2,1.730,2,152.597,18.36552749,0
5500,Alcohol,GTA,10/20/15,25,25.4,1.930,2,130.405,11.01040119,0
5501,Alcohol,GTA,10/20/15,25.7,25,1.731,2,43.790,18.60326895,0
5502,Alcohol,GTA,10/20/15,24.5,23.4,1.630,2,182.856,23.50668648,0
5503,Alcohol,GTA,10/20/15,26,23.7,1.880,2,114.934,17.69687964,0
5504,Alcohol,Glycerol,10/20/15,25,24.9,1.770,2,68.265,11.78306092,0
5505,Alcohol,Glycerol,10/20/15,25,24.4,1.780,2,174.875,25.98811293,0
5506,Alcohol,Glycerol,10/20/15,28,26.8,1.700,2,5.934,1.530460624,0
5507,Alcohol,Glycerol,10/21/15,25,22,1.500,2,31.605,5.482912333,0
5508,Glucose,GTA,10/19/15,25,24.7,1.226,2,8.580,5.676077266,0
5509,Glucose,GTA,10/19/15,25,24.1,1.196,2,6.233,1.708766716,0
5510,Glucose,GTA,10/19/15,25,25.2,1.195,2,57.575,0.832095097,0
5511,Glucose,Glycerol,10/19/15,25,24.8,1.195,2,16.561,5.096582467,0
5512,Glucose,Glycerol,10/19/15,24,24.8,1.258,2,77.505,7.221396731,0
5513,Glucose,Glycerol,10/19/15,24,24.8,1.288,2,47.716,4.457652303,0