,Acetate,Propionate,Butyrate,Isovalerate,Valerate
Control,364.3267249,14.3342231,11.24680989,2.474566878,4.436744732
Control,204.9614661,12.48396824,9.471586101,2.457321336,3.719765486
Control,243.4780807,13.45175931,11.67950654,2.117087859,3.203935588
Control,254.7250792,10.585955,8.88957974,2.617705907,3.202115612
ASH,3188.458767,11.1044882,10.61276376,2.695206263,3.408212084
ASH,5732.853569,18.97736964,12.66359612,1.901869624,3.705239986
ASH,2612.794125,37.28689273,28.56640216,3.630424296,8.164627167
ASH,508.8256127,15.94576766,10.71714627,1.874309902,2.982612045
AH,2582.256486,15.67417906,14.87251996,2.848165427,4.274693623
AH,5716.488159,11.89255807,10.04176872,2.345755617,3.083086104
AH,6469.789241,13.12570006,13.38914328,2.176994159,4.030334777
AH,2752.549946,17.93613193,11.42752281,2.148024086,3.853516354
OG,1529.724896,16.05498642,9.066627959,1.807332186,1.705228843
OG,1225.750381,4.842266151,5.584945353,0.71951046,1.050991461